[2025-06-18 14:34:45] This is codeql database index-files --include-extension=.xml --include-extension=.wsdd --size-limit 10m --language xml -- /home/nam/Documents/JDD/codeql_project
[2025-06-18 14:34:45] Log file was started late.
[2025-06-18 14:34:45] Using index-files script /home/nam/codeql-home/codeql/xml/tools/index-files.sh.
[2025-06-18 14:34:45] [PROGRESS] database index-files> Scanning for files in /home/nam/Documents/JDD...
[2025-06-18 14:34:45] Calling plumbing command: codeql resolve files --include-extension=.xml --include-extension=.wsdd --size-limit=10m /home/nam/Documents/JDD --format=json
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/inPuts...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/inPuts/config...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/.idea...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/testExample...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/testExample/Groovy...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/testExample/Vaadin...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/testExample/CB...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/document...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/META-INF...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/diagnostic...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/diagnostic/extractors...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/diagnostic/extractors/java...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/diagnostic/tracer...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/log...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/log/ext...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/working...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/structure...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/structure/taint...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/dataflow...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/dataflow/node...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/dataflow/node/paramResult...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/markers...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/util...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/container...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/detetor...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/PointToAnalyze...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/PointToAnalyze/pointer...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/rules...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/rules/protocol...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/rules/sinks...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/gadgets...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/gadgets/collection...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/gadgets/collection/markers...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/gadgets/collection/iocd...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/gadgets/collection/iocd/unit...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/gadgets/collection/iocd/unit/instrument...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/gadgets/collection/rule...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/gadgets/collection/node...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/gadgets/unit...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/tranModel...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/tranModel/Rules...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/tranModel/Symbol...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/tranModel/Taint...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/runner...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/jdd/config...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/java...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/java/dataflow...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/java/common...
[2025-06-18 14:34:45] [PROGRESS] resolve files> Scanning /home/nam/Documents/JDD/codeql_project/src/home/nam/Documents/JDD/src/main/java/util...
